#seq_name	length	coverage
contig_1	599939	6
contig_10	52548	1
contig_100	25782	2
contig_1000	1193	0
contig_1001	1390	1
contig_1002	1655	1
contig_1003	3397	1
contig_1004	2073	1
contig_1005	5888	1
contig_1006	1970	1
contig_1007	23941	1
contig_1008	23664	1
contig_1009	23639	1
contig_101	95700	1
contig_1010	23637	1
contig_1011	8411	1
contig_1012	3485	1
contig_1013	23527	1
contig_1014	23505	1
contig_1015	23379	1
contig_1016	23267	1
contig_1017	23262	1
contig_1018	23238	1
contig_1019	23223	1
contig_102	134389	2
contig_1020	23210	1
contig_1021	23163	1
contig_1022	23142	1
contig_1023	23111	1
contig_1024	23068	1
contig_1025	23029	1
contig_1026	23010	1
contig_1027	22946	1
contig_1028	22899	1
contig_1029	22880	1
contig_103	8060	2
contig_1030	22796	1
contig_1031	22765	1
contig_1032	2081	1
contig_1033	22762	1
contig_1034	22705	1
contig_1035	22666	1
contig_1036	22628	1
contig_1037	22547	1
contig_1038	5252	1
contig_1039	22526	1
contig_104	29202	1
contig_1040	22518	1
contig_1041	22511	1
contig_1042	22509	1
contig_1043	22499	1
contig_1044	2422	1
contig_1045	24191	1
contig_1046	1019	1
contig_1047	37679	2
contig_1048	4617	1
contig_1049	239340	1
contig_105	27335	1
contig_1050	7918	1
contig_1051	7643	1
contig_1052	5499	1
contig_1053	1674	4
contig_1054	6760	1
contig_1055	22065	1
contig_1056	21981	1
contig_1057	21878	1
contig_1058	21895	1
contig_1059	15487	1
contig_106	12844	1
contig_1060	21814	1
contig_1061	21787	1
contig_1062	21778	1
contig_1063	21756	1
contig_1064	22834	1
contig_1065	9509	1
contig_1066	21736	1
contig_1067	21679	2
contig_1068	21655	1
contig_1069	13637	1
contig_107	8566	1
contig_1070	21621	1
contig_1071	21594	1
contig_1072	21591	1
contig_1073	6299	1
contig_1074	25956	1
contig_1075	11076	2
contig_1076	21576	1
contig_1077	21542	1
contig_1078	28531	1
contig_1079	5717	1
contig_108	3314	1
contig_1080	32895	1
contig_1081	21508	1
contig_1082	21490	1
contig_1083	10903	1
contig_1084	7925	1
contig_1085	3986	1
contig_1086	4511	1
contig_1087	8311	1
contig_1088	6117	1
contig_1089	15786	1
contig_109	23496	2
contig_1090	4595	1
contig_1091	1714	2
contig_1092	21345	1
contig_1093	21339	1
contig_1094	21160	1
contig_1095	9322	1
contig_1096	3333	1
contig_1097	20977	1
contig_1098	20968	1
contig_1099	20927	1
contig_11	12251	1
contig_110	4199	1
contig_1101	28904	1
contig_1102	20901	1
contig_1103	20898	1
contig_1104	20834	1
contig_1105	20831	1
contig_1106	2876	1
contig_1107	20726	1
contig_1108	20669	1
contig_1109	6475	1
contig_111	8849	1
contig_1110	20610	1
contig_1111	5122	1
contig_1112	20586	1
contig_1113	1739	1
contig_1114	20567	1
contig_1115	20565	1
contig_1116	17462	1
