REF	QUERY	REF_START	REF_END	Q_START	Q_END	ORIENTATION	INNIE(1/0)	OVERLAP_LEN	OVERLAP_PROP	NO_OVERLAP_AT_ENDS	OVERHANG
contig_10.2	 contig_1031	84156	93963	2404	9514	R	1	2523	0.161163	15655	0
contig_1.2	 contig_1286	81810	83319	15283	16792	R	1	1509	0.0979107	15412	0
contig_1.2	 contig_1571	65167	65431	1096	833	R	1	263	0.0213578	12314	0
contig_1.2	 contig_1837	85184	86818	8535	6901	R	1	1634	0.236812	6900	0
contig_1.2	 contig_2101	90714	96512	1	5804	R	0	5803	1450.75	4	1778
contig_10.2	 contig_2274	51224	57582	6397	39	L	1	6358	66.2292	96	0
contig_1001.2	 contig_2651	7894	9215	2530	3851	R	1	1321	0.38705	3413	0
contig_10.2	 contig_3022	136186	138258	1199	3274	R	1	2075	1.73061	1199	0
contig_10.2	 contig_3483	1	12140	3758	16195	L	0	12000	0.293219	40925	3757
contig_100.2	 contig_3585	1	46072	8	47032	L	0	46036	46036	1	7
contig_100.2	 contig_3720	50730	67059	1	16330	R	0	16329	16329	1	22765
contig_1.2	 contig_376	83056	84048	2128	1257	R	1	870	0.24957	3486	0
contig_1.2	 contig_3875	83456	85183	1727	1	R	1	1726	2.73101	632	0
contig_1001.2	 contig_3950	6652	9404	2837	1417	R	1	1437	1.01483	1416	0
contig_1.2	 contig_593	78325	80510	2902	717	R	1	2185	0.0545936	40023	0
