#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	599951	6	N	N	6	both	*	1
contig_2	16672	1	N	N	1	both	*	2
contig_3	344914	1	N	N	1	both	*	3
contig_4	1001	1	N	N	1	both	*	4
contig_5	272802	1	N	N	1	both	*	5
contig_7	87411	1	N	N	1	both	*	7
contig_9	186502	1	N	N	1	left	*	9
contig_10	52548	1	N	N	1	right	*	8,10
contig_11	12255	1	N	N	1	right	*	8,11,232
contig_12	8759	1	N	N	1	right	*	6,12,232
contig_13	95317	1	N	N	1	right	*	-57,13
contig_14	49378	1	N	N	1	right	*	-57,14
contig_15	5361	1	N	N	1	both	*	15
contig_17	36069	1	N	N	1	right	*	-57,17
contig_18	2532	1	N	N	1	none	*	8,18
contig_19	7731	1	N	N	1	none	*	-57,19,184
contig_20	33755	1	N	N	1	both	*	20
contig_21	71829	1	N	N	1	both	*	21
contig_22	35944	1	N	N	1	both	*	22
contig_23	3312	1	N	N	1	both	*	23
contig_24	25120	1	N	N	1	right	*	6,24
contig_25	27594	1	N	N	1	right	*	-57,25
contig_26	29232	1	N	N	1	both	*	26
contig_27	22928	1	N	N	1	right	*	-57,27
contig_28	27402	1	N	N	1	both	*	28,-3614
contig_29	6892	3	N	N	3	both	*	29
contig_30	12747	1	N	N	1	right	*	8,30
contig_31	20461	1	N	N	1	both	*	31
contig_32	11920	1	N	N	1	right	*	6,32
contig_33	11830	2	N	N	2	right	*	8,33
contig_34	8091	1	N	N	1	both	*	34
contig_35	7253	1	N	N	1	both	*	35
contig_36	15439	1	N	N	1	right	*	6,36
contig_37	4042	2	N	N	2	both	*	37
contig_38	5048	1	N	N	1	both	*	38
contig_39	14875	1	N	N	1	right	*	-57,39
contig_40	2980	2	N	N	2	both	*	40
contig_41	6539	1	N	N	1	both	*	41
contig_42	7344	1	N	N	1	both	*	42
contig_43	6520	1	N	N	1	both	*	43
contig_44	4648	1	N	N	1	both	*	44
contig_45	3785	1	N	N	1	both	*	45
contig_46	5002	1	N	N	1	both	*	46
contig_47	3636	1	N	N	1	both	*	47
contig_48	6401	1	N	N	1	both	*	48
contig_49	8987	1	N	N	1	both	*	49
contig_50	6041	1	N	N	1	both	*	50
contig_51	1031	1	N	N	1	both	*	51
contig_52	2244	1	N	N	1	both	*	52
contig_53	2301	1	N	N	1	both	*	53
contig_54	3721	1	N	N	1	both	*	54
contig_55	1193	1	N	N	1	both	*	55
contig_56	2129	1	N	N	1	both	*	56
contig_58	1246	1	N	N	1	both	*	58
contig_59	91398	2	N	N	2	right	*	59
contig_60	38381	2	N	N	2	right	*	60,131,1212,1214
contig_62	28250	1	N	N	1	right	*	62
contig_63	62545	1	N	N	1	both	*	63
contig_64	43156	1	N	N	1	right	*	64
contig_65	7097	1	N	N	1	both	*	65
contig_66	5991	1	N	N	1	both	*	66
contig_67	42161	1	N	N	1	right	*	67
contig_68	81129	1	N	N	1	both	*	68
contig_69	3138	1	N	N	1	both	*	69
contig_70	4571	1	N	N	1	both	*	70
contig_71	28079	1	N	N	1	both	*	71
contig_72	5808	1	N	N	1	both	*	72
contig_73	13135	1	N	N	1	right	*	73
contig_74	22317	1	N	N	1	right	*	74
contig_75	9169	1	N	N	1	both	*	75
contig_76	9281	1	N	N	1	both	*	76
contig_77	11096	1	N	N	1	both	*	77
contig_78	3775	1	N	N	1	both	*	78
contig_79	8947	1	N	N	1	both	*	79
contig_80	7448	1	N	N	1	both	*	80
contig_81	4752	1	N	N	1	both	*	81
contig_82	9820	1	N	N	1	both	*	82
contig_83	7427	1	N	N	1	both	*	83
contig_84	8783	1	N	N	1	both	*	84
contig_85	5131	1	N	N	1	both	*	85
contig_86	6040	2	N	N	2	both	*	86
contig_87	9707	1	N	N	1	both	*	87
contig_88	1234	1	N	N	1	both	*	88
contig_89	1241	1	N	N	1	both	*	89
contig_90	5806	1	N	N	1	both	*	90
contig_91	2913	1	N	N	1	both	*	91
contig_92	4153	1	N	N	1	both	*	92
contig_93	1529	1	N	N	1	both	*	93
contig_94	2608	1	N	N	1	both	*	94
contig_95	214205	1	N	N	1	both	*	95
contig_96	196580	1	N	N	1	both	*	96
contig_97	26546	1	N	N	1	both	*	97
contig_98	119742	1	N	N	1	both	*	98
contig_99	5647	1	N	N	1	both	*	99
contig_100	25782	1	N	N	1	left	*	100
contig_101	95700	1	N	N	1	both	*	101
contig_102	134429	1	N	N	1	both	*	102
contig_103	8050	2	N	N	2	none	*	103,-767,766
contig_104	29202	1	N	N	1	both	*	104
contig_105	27194	1	N	N	1	right	*	105
contig_106	12844	1	N	N	1	right	*	106
contig_107	8566	1	N	N	1	both	*	107
contig_108	3314	1	N	N	1	both	*	108
contig_109	23488	1	N	N	1	right	*	-342,109
contig_110	4199	1	N	N	1	both	*	110
contig_111	8849	1	N	N	1	both	*	111
contig_112	2694	2	N	N	2	both	*	112
contig_113	3278	1	N	N	1	both	*	113
contig_114	6105	1	N	N	1	both	*	114
contig_115	7297	1	N	N	1	both	*	115
contig_116	2439	1	N	N	1	both	*	116
contig_117	7040	1	N	N	1	both	*	117
contig_118	25204	1	N	N	1	right	*	118
contig_119	1660	1	N	N	1	both	*	119
contig_120	4562	1	N	N	1	both	*	120
contig_121	11244	1	N	N	1	right	*	121
contig_122	2248	1	N	N	1	both	*	122
contig_123	8893	2	N	N	2	both	*	123
contig_124	10881	1	N	N	1	right	*	124
contig_125	1222	1	N	N	1	both	*	125
contig_126	6243	1	N	N	1	both	*	126
contig_127	1863	1	N	N	1	both	*	127
contig_128	1892	1	N	N	1	both	*	128
contig_129	27720	1	N	N	1	both	*	129
