#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_1	599939	6	N	N	5	*	*,1,*
contig_3	344920	1	N	N	1	*	*,3,*
contig_5	272802	1	N	N	1	*	*,5,*
contig_1049	239340	1	N	N	1	*	*,1049,*
contig_95	214205	1	N	N	1	*	*,95,*
contig_96	196580	1	N	N	1	*	*,96,*
contig_3400	193809	1	N	N	1	*	*,3400,*
contig_132	187054	1	N	N	1	*	*,132,*
contig_9	186485	2	N	N	1	*	*,9
contig_3394	184957	1	N	N	1	*	*,-1214,-1212,-131,3394,*
contig_133	176058	1	N	N	1	*	*,3395,133,*
contig_136	175430	1	N	N	1	*	*,136,*
contig_138	173728	1	N	N	1	*	*,3397,138,*
contig_144	172439	1	N	N	1	*	*,144,*
contig_3398	163312	1	N	N	1	*	*,3398,*
contig_146	156599	1	N	N	1	*	*,146,*
contig_3408	154223	1	N	N	1	*	*,3408,*
contig_149	150710	1	N	N	1	*	*,149,*
contig_150	148076	1	N	N	1	*	*,150,*
contig_505	140171	1	N	N	1	*	*,505,*
contig_152	135183	1	N	N	1	*	*,152,*
contig_102	134389	2	N	N	1	*	*,102,*
contig_153	134186	1	N	N	1	*	*,153,*
contig_268	133247	1	N	N	1	*	*,268,*
contig_151	132842	1	N	N	1	*	*,151,*
contig_154	130848	1	N	N	1	*	*,154,*
contig_155	127361	1	N	N	1	*	*,155,*
contig_156	125166	1	N	N	1	*	*,156,*
contig_3405	124925	1	N	N	1	*	*,3405,*
contig_157	124019	1	N	N	1	*	*,157,*
contig_3411	123890	1	N	N	1	*	*,3411,*
contig_3403	123567	1	N	N	1	*	*,3403,*
contig_487	123008	1	N	N	1	*	*,487,-3658,*
contig_380	122640	1	N	N	1	*	*,380,*
contig_159	122258	1	N	N	1	*	*,159,3402,*
contig_161	122095	1	N	N	1	*	*,161,*
contig_162	121355	1	N	N	1	*	*,162,*
contig_98	119742	1	N	N	1	*	*,98,*
contig_3433	118613	1	N	N	1	*	*,3433,*
contig_197	118122	1	N	N	1	*	*,197,*
contig_198	117058	1	N	N	1	*	*,198,*
contig_199	114733	1	N	N	1	*	*,199,*
contig_203	114626	1	N	N	1	*	*,203,*
contig_477	113910	1	N	N	1	*	*,477,*
contig_3412	111496	1	N	N	1	*	*,3412,*
contig_200	111140	1	N	N	1	*	*,200,*
contig_191	111090	1	N	N	1	*	*,191,*
contig_241	109653	1	N	N	1	*	*,241,*
contig_257	108535	2	N	N	1	*	*,257,*
contig_3406	107965	1	N	N	1	*	*,3406,*
contig_3472	103858	1	N	N	1	*	*,3472,*
contig_139	103112	1	N	N	1	*	*,3397,139,*
contig_3409	102299	1	N	N	1	*	*,3409,*
contig_214	102258	1	N	N	1	*	*,214,*
contig_219	100778	1	N	N	1	*	*,219,*
contig_220	100562	1	N	N	1	*	*,220,*
contig_3393	100144	1	N	N	1	*	3393,*
contig_221	100082	1	N	N	1	*	*,221,*
contig_222	98852	1	N	N	1	*	*,222,*
contig_223	98687	1	N	N	1	*	*,223,*
contig_3410	98486	2	Y	N	1	*	3410
contig_225	98453	1	N	N	1	*	*,225,-8
contig_224	95863	2	N	N	1	*	*,224,*
contig_101	95700	1	N	N	1	*	*,101,*
contig_13	95317	1	N	N	1	*	-57,13,*
contig_3418	93968	1	N	N	1	*	*,3418,*
contig_228	93777	1	N	N	1	*	*,228,*
contig_229	93763	1	N	N	1	*	*,229,*
contig_230	93564	1	N	N	1	*	*,230,*
contig_3430	93214	1	N	N	1	*	*,3430,*
contig_598	93209	1	N	N	1	*	*,598,*
contig_516	92993	1	N	N	1	*	*,516,*
contig_207	92746	2	N	N	1	*	-208,207,*
contig_59	91398	2	N	N	1	*	59,*
contig_233	90220	1	N	N	1	*	*,233,*
contig_3488	90155	1	N	N	1	*	*,3488,*
contig_3416	89432	1	N	N	1	*	*,3415,3416,*
contig_3437	88966	1	N	N	1	*	*,3437,*
contig_3419	88843	1	N	N	1	*	*,3419,3420,*
contig_526	88581	1	N	N	1	*	*,526,*
contig_251	88114	1	N	N	1	*	*,251,*
contig_3421	87678	1	N	N	1	*	*,3421,*
contig_7	87176	1	N	N	1	*	*,7,*
contig_254	86485	1	N	N	1	*	254,*
contig_253	86418	1	N	N	1	*	*,253,*
contig_3452	85281	1	N	N	1	*	*,3452,*
contig_169	85255	1	N	N	1	*	*,169,*
contig_3453	84961	1	N	N	1	*	*,3453,*
contig_166	84828	1	N	N	1	*	-184,166,*
contig_300	84396	1	N	N	1	*	*,300,*
contig_277	83917	1	N	N	1	*	*,277,*
contig_3445	83454	1	N	N	1	*	*,3445,*
contig_278	83029	1	N	N	1	*	*,278,*
contig_3426	82948	2	N	N	1	*	*,3426,*
contig_279	82866	1	N	N	1	*	*,279,*
contig_281	82259	1	N	N	1	*	*,281,*
contig_167	82052	1	N	N	1	*	*,167,*
contig_604	82037	1	N	N	1	*	*,604,3524,*
contig_3423	81520	1	N	N	1	*	*,3423,*
contig_420	81486	2	N	N	1	*	*,420,*
contig_68	81130	1	N	N	1	*	*,68,*
contig_3439	80763	1	N	N	1	*	*,3439,*
contig_282	80585	1	N	N	1	*	*,282,*
contig_3517	80551	1	N	N	1	*	*,3517,*
contig_285	79879	1	N	N	1	*	*,285,*
contig_3447	79752	1	N	N	1	*	*,3447,*
contig_605	79688	1	N	N	1	*	*,605,3524,*
contig_286	79594	1	N	N	1	*	*,286,*
contig_395	78172	1	N	N	1	*	*,395,*
contig_3449	77952	1	N	N	1	*	*,3449,*
contig_287	77913	1	N	N	1	*	*,287,*
contig_289	77747	1	N	N	1	*	*,289,290,*
contig_352	77529	1	N	N	1	*	*,352,*
contig_3444	77369	1	N	N	1	*	*,369,3444,*
contig_165	76928	1	N	N	1	*	*,-232,165,*
contig_3486	76898	1	N	N	1	*	*,3486,*
contig_271	76483	1	N	N	1	*	271,*
contig_3443	76431	1	N	N	1	*	*,3443,*
contig_3462	76168	1	N	N	1	*	*,3462,*
contig_3431	75736	1	N	N	1	*	*,3431,*
contig_3427	75147	1	N	N	1	*	*,3427,*
contig_472	75113	1	N	N	1	*	*,472,*
contig_316	75054	1	N	N	1	*	*,316,*
contig_329	74660	1	N	N	1	*	*,329,*
contig_3446	74615	1	N	N	1	*	*,3446,*
contig_335	73595	1	N	N	1	*	*,335,*
contig_3438	73407	1	N	N	1	*	*,3438,*
contig_336	72965	1	N	N	1	*	*,336,*
contig_3424	72940	1	N	N	1	*	*,299,3424,*
contig_337	72885	1	N	N	1	*	*,337,*
contig_405	72664	1	N	N	1	*	*,405,*
contig_349	72569	1	N	N	1	*	*,349,*
contig_350	72409	1	N	N	1	*	*,350,*
contig_3440	72390	1	N	N	1	*	*,3440,*
contig_351	72305	1	N	N	1	*	*,351,*
contig_21	72192	2	N	N	1	*	*,21,*
contig_354	72031	1	N	N	1	*	*,354,*
contig_355	71877	1	N	N	1	*	*,355,*
contig_3491	71641	1	N	N	1	*	*,3491,*
contig_3508	71484	1	N	N	1	*	*,3507,3508,*
contig_478	71280	2	N	N	1	*	*,478,*
contig_356	71134	1	N	N	1	*	*,356,*
contig_357	71040	1	N	N	1	*	*,357,*
contig_481	70953	1	N	N	1	*	*,481,*
contig_399	70576	1	N	N	1	*	*,-3457,399,*
contig_358	70221	1	N	N	1	*	*,358,*
contig_423	70184	1	N	N	1	*	423,*
contig_359	69982	1	N	N	1	*	*,359,*
contig_3442	69486	1	N	N	1	*	*,3442,*
contig_360	69167	1	N	N	1	*	*,360,*
contig_3519	69108	2	N	N	1	*	*,3519,*
contig_361	68921	1	N	N	1	*	*,361,*
contig_391	68216	1	N	N	1	*	*,391,*
contig_3448	68193	1	N	N	1	*	*,3448,*
contig_3451	67838	1	N	N	1	*	*,3451,*
contig_458	67619	1	N	N	1	*	*,458,*
contig_3465	67144	1	N	N	1	*	*,3465,*
contig_362	67066	1	N	N	1	*	*,362,*
contig_363	67043	1	N	N	1	*	*,363,*
contig_364	66926	1	N	N	1	*	*,364,*
contig_3477	66860	1	N	N	1	*	*,3477,*
contig_3476	66409	1	N	N	1	*	*,3476,*
contig_733	65916	1	N	N	1	*	*,733,*
contig_3499	65627	1	N	N	1	*	*,3499,*
contig_373	65249	1	N	N	1	*	*,373,*
contig_3520	65149	1	N	N	1	*	*,3520,*
contig_374	65057	1	N	N	1	*	*,374,*
contig_3454	64582	1	N	N	1	*	*,3454,*
contig_544	64459	1	N	N	1	*	*,544,*
contig_584	64011	1	N	N	1	*	*,584,*
contig_375	63910	1	N	N	1	*	*,375,*
contig_3371	63845	1	N	N	1	*	-57,6,3371,-16
contig_3490	63599	1	N	N	1	*	*,3490,*
contig_3532	63513	1	N	N	1	*	*,3532,*
contig_377	63461	1	N	N	1	*	*,377,*
contig_3522	63328	1	N	N	1	*	*,3522,-3587,*
contig_379	63259	1	N	N	1	*	*,379,*
contig_324	63230	1	N	N	1	*	324,*
contig_63	62570	2	N	N	1	*	*,63,*
contig_3478	62474	1	N	N	1	*	564,3478,*
contig_383	62085	1	N	N	1	*	*,383,*
contig_799	61804	1	N	N	1	*	*,3590,799,*
contig_308	61796	1	N	N	1	*	61,308,*
contig_3487	61790	1	N	N	1	*	*,3487,*
contig_3498	61704	1	N	N	1	*	*,3498,*
contig_3469	61677	1	N	N	1	*	*,3469,*
contig_510	61500	1	N	N	1	*	*,510,*
contig_3496	60987	1	N	N	1	*	*,3496,*
contig_386	60966	1	N	N	1	*	*,386,*
contig_387	60965	1	N	N	1	*	*,387,*
contig_338	60877	1	N	N	1	*	*,338,*
contig_515	60710	1	N	N	1	*	*,515,*
contig_397	60214	1	N	N	1	*	*,3456,397,*
contig_160	60121	1	N	N	1	*	*,-3402,160,*
contig_3530	60102	1	N	N	1	*	*,3530,*
contig_215	60091	1	N	N	1	*	*,215,*
contig_3535	60061	1	N	N	1	*	*,3535,*
contig_402	59993	1	N	N	1	*	*,402,*
contig_3516	59976	1	N	N	1	*	*,3516,*
contig_3458	59876	1	N	N	1	*	*,3458,*
contig_403	59715	1	N	N	1	*	*,403,*
contig_3470	59609	2	N	N	1	*	*,-867,3470,*
contig_3553	59369	1	N	N	1	*	*,3553,*
contig_3492	59115	1	N	N	1	*	*,3492,*
contig_3570	59021	1	N	N	1	*	*,3570,*
contig_406	58823	1	N	N	1	*	*,406,*
contig_407	58719	1	N	N	1	*	*,407,*
contig_3373	58674	1	N	N	1	*	*,3373,*
contig_408	58464	1	N	N	1	*	*,408,*
contig_409	58360	1	N	N	1	*	*,409,*
contig_475	58256	1	N	N	1	*	*,475,*
contig_3611	58228	1	N	N	1	*	*,3611,*
contig_3502	57806	1	N	N	1	*	*,3502,*
contig_3567	57788	1	N	N	1	*	*,3567,*
contig_301	57713	1	N	N	1	*	*,301,*
contig_414	57127	1	N	N	1	*	*,414,*
contig_3483	57119	1	N	N	1	*	*,3483,*
contig_689	57076	1	N	N	1	*	*,3554,689,*
contig_172	56895	1	N	N	1	*	-184,172,*
contig_415	56870	1	N	N	1	*	*,415,3461,*
contig_417	56811	1	N	N	1	*	*,417,*
contig_3577	56544	1	N	N	1	*	*,3577,*
contig_3558	56116	1	N	N	1	*	*,3558,*
